size; 5_optimized_heap; 10_optimized_heap; 25_optimized_heap; 50_optimized_heap; 100_optimized_heap; 200_optimized_heap; 300_optimized_heap; 400_optimized_heap; 500_optimized_heap; 1000_optimized_heap; 
100000; 86.715600; 75.254000; 58.390800; 59.338000; 59.492400; 53.443000; 53.980600; 53.358800; 49.520000; 52.046000; 
200000; 178.551800; 144.701200; 120.668600; 112.532800; 116.665800; 110.494800; 102.987400; 100.835000; 93.350600; 104.191800; 
300000; 282.254400; 229.208000; 187.652000; 177.257400; 179.342600; 171.741400; 172.327600; 149.493000; 141.779600; 158.041600; 
400000; 399.448600; 317.674000; 255.676000; 245.694400; 247.976800; 239.940200; 239.898200; 210.761200; 188.797400; 209.297800; 
500000; 503.045800; 405.457600; 319.470200; 309.535400; 309.476800; 302.178200; 310.924600; 272.141800; 237.720600; 260.882800; 
600000; 619.550200; 493.309000; 385.059600; 380.131200; 373.331200; 372.229400; 385.679200; 349.109800; 301.161400; 319.438600; 
700000; 743.389600; 587.894400; 454.799600; 454.563600; 440.239400; 445.485600; 455.002200; 420.582800; 363.308000; 366.928400; 
800000; 848.234800; 671.384200; 521.662000; 518.765200; 510.058400; 513.009000; 519.019000; 482.615000; 431.980000; 421.653200; 
900000; 978.922600; 770.508400; 600.466000; 589.573000; 566.976200; 584.898800; 602.190000; 557.252400; 502.069000; 478.627200; 
1000000; 1106.390000; 872.398800; 677.351800; 659.608600; 635.737600; 660.061400; 673.737400; 631.260600; 573.445800; 530.446600; 
1100000; 1234.528800; 955.050800; 759.909000; 737.387800; 683.379400; 730.477800; 755.258600; 711.214600; 638.864600; 589.171200; 
1200000; 1368.083400; 1048.749800; 841.605400; 810.991400; 742.745400; 813.139600; 830.784800; 796.870000; 693.866400; 653.258400; 
1300000; 1490.141600; 1142.358800; 923.192200; 888.795400; 796.964400; 870.000800; 899.722600; 838.189600; 762.591000; 699.947400; 
1400000; 1648.037200; 1271.949800; 1020.772800; 981.817800; 873.985800; 960.734000; 1002.925800; 933.748600; 849.270000; 776.821200; 
1500000; 1776.737600; 1357.776400; 1097.547600; 1053.595000; 939.753200; 1038.844800; 1067.280200; 993.392400; 911.249600; 813.973600; 
1600000; 1971.335200; 1500.269400; 1212.868800; 1171.498400; 1018.990600; 1148.511400; 1194.612800; 1145.355400; 1057.082400; 892.522200; 
1700000; 2055.192800; 1572.677400; 1272.465400; 1216.392400; 1078.266000; 1183.081400; 1234.598200; 1163.426800; 1042.902400; 936.644800; 
1800000; 2188.702800; 1671.327800; 1344.714000; 1287.624400; 1142.295800; 1247.826000; 1325.325600; 1253.632400; 1112.867000; 997.491800; 
1900000; 2330.534600; 1768.115200; 1424.143600; 1381.851400; 1216.610800; 1319.725000; 1402.123400; 1320.774200; 1208.128800; 1067.657600; 
2000000; 2463.569200; 1878.623200; 1511.417600; 1473.975600; 1285.350000; 1403.431600; 1511.474800; 1431.734400; 1302.398200; 1127.522800; 
2100000; 2608.539200; 1963.085200; 1575.064800; 1543.275800; 1344.393600; 1477.146200; 1572.164800; 1462.247000; 1322.372800; 1188.980000; 
2200000; 2725.562600; 2065.930400; 1666.437800; 1622.281200; 1423.110800; 1553.727000; 1731.290000; 1557.106800; 1393.403800; 1260.824800; 
2300000; 2908.764400; 2201.611400; 1775.912400; 1718.671000; 1510.229000; 1630.167800; 1714.523400; 1632.376000; 1507.523400; 1336.375200; 
2400000; 3032.283800; 2310.212800; 1832.786400; 1782.537000; 1604.907400; 1735.067000; 1785.365600; 1734.091800; 1561.156000; 1418.005800; 
2500000; 3158.420000; 2424.035800; 1904.368000; 1848.003800; 1685.637400; 1814.381600; 1896.153400; 1805.302800; 1641.901400; 1495.965600; 
2600000; 3330.008600; 2527.904600; 2026.784400; 1953.770200; 1773.285800; 1887.565400; 1942.921600; 1894.466200; 1765.822000; 1583.754200; 
2700000; 3492.633200; 2658.368600; 2120.670400; 2059.398600; 1848.281200; 1992.284800; 2091.801400; 1978.055400; 1836.297600; 1696.197000; 
2800000; 3591.749400; 2734.644200; 2177.710600; 2111.219400; 1913.342600; 2025.045200; 2121.875200; 2039.812000; 1830.112400; 1738.448400;